,제주특별자치도 제주시 용문로 88,제주특별자치도 제주시 용마서길 34,제주특별자치도 제주시 연미길 44,제주특별자치도 제주시 연미길 53,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 오광로 156,제주특별자치도 제주시 용해로 74,제주특별자치도 제주시 월광로 154,제주특별자치도 제주시 월성로4길 76-2,제주특별자치도 제주시 연미길 12,제주특별자치도 제주시 용문로 8,제주특별자치도 제주시 용문로 64,제주특별자치도 제주시 월성로4길 74-22,제주특별자치도 제주시 다호5길 17,제주특별자치도 제주시 억삼길 10,제주특별자치도 제주시 우정로 88,제주특별자치도 제주시 공항로1길 38-1,제주특별자치도 제주시 도리로 110,제주특별자치도 제주시 오일장중길 39,제주특별자치도 제주시 성화로1길 5,제주특별자치도 제주시 용문로 48,제주특별자치도 제주시 연미길 103,제주특별자치도 제주시 오일장중길 27,제주특별자치도 제주시 공항로1길 38,제주특별자치도 제주시 연동11길 12,제주특별자치도 제주시 일주서로 7662,제주특별자치도 제주시 일주서로 7861,제주특별자치도 제주시 일주서로 7667,제주특별자치도 제주시 용해로 119,제주특별자치도 제주시 어영길 30,제주특별자치도 제주시 연미길 42,제주특별자치도 제주시 오일장중길 115,제주특별자치도 제주시 오도11길 19,제주특별자치도 제주시 제성1길 30,제주특별자치도 제주시 연미길 35,제주특별자치도 제주시 다호북길 111,제주특별자치도 제주시 용해로 50,제주특별자치도 제주시 신성마을길 112,제주특별자치도 제주시 다호북길 105,제주특별자치도 제주시 오일장중길 100,제주특별자치도 제주시 제성1길 67,제주특별자치도 제주시 오일장중길 128,제주특별자치도 제주시 오일장서길 63,제주특별자치도 제주시 다호북길 150,제주특별자치도 제주시 어영길 20,제주특별자치도 제주시 오일장중길 117,제주특별자치도 제주시 다호길 126,제주특별자치도 제주시 다호7길 28,제주특별자치도 제주시 도령로 171-1,제주특별자치도 제주시 오광로 24,제주특별자치도 제주시 서해안로 620-13,제주특별자치도 제주시 제성1길 75,제주특별자치도 제주시 연미3길 4,제주특별자치도 제주시 우도면 우도해안길 372,제주특별자치도 제주시 선반로 93,제주특별자치도 제주시 용해로 58-7,제주특별자치도 제주시 용해로 58-15,제주특별자치도 제주시 오일장서길 75,제주특별자치도 제주시 제성1길 28-1,제주특별자치도 제주시 오일장서길 68,제주특별자치도 제주시 용해로 101,제주특별자치도 제주시 어영길10,제주특별자치도 제주시 용해로 80-7,제주특별자치도 제주시 용문로 26-7,제주특별자치도 제주시 용해로 92,제주특별자치도 제주시 명신1길 19,제주특별자치도 제주시 용문로 62,제주특별자치도 제주시 신대로 45,제주특별자치도 제주시 다호길 130,제주특별자치도 제주시 용문로 20,제주특별자치도 제주시 월성로4길 78,제주특별자치도 제주시 일주서로 7581,제주특별자치도 제주시 월성로4길 74-12
time,7시간 40분,8분,11분,10분,3분,17분,8분,12분,8분,10분,3분,4분,9분,4분,15분,21분,12분,13분,10분,7분,12분,12분,10분,11분,8분,12분,8분,11분,6분,11분,9분,7분,12분,6분,9분,6분,9분,6분,5분,7분,6분,7분,10분,7분,11분,7분,5분,5분,5분,13분,8분,10분,9분,1시간 35분,25분,7분,8분,10분,7분,10분,7분,10분,7분,3분,7분,7분,4분,8분,5분,3분,8분,13분,8분
distance,538.0km,3.3km,3.8km,3.7km,1.1km,6.7km,3.3km,3.6km,3.1km,3.5km,1.1km,1.6km,3.0km,1.6km,6.1km,8.3km,3.8km,5.1km,3.6km,2.8km,3.9km,3.7km,3.7km,3.7km,3.1km,4.5km,3.2km,4.1km,2.3km,4.2km,3.5km,2.9km,5.0km,2.5km,3.4km,2.1km,3.5km,2.1km,2.0km,3.1km,2.7km,3.0km,3.6km,2.4km,4.7km,3.0km,2.0km,1.9km,2.1km,5.4km,3.5km,3.8km,3.5km,56.9km,9.7km,3.0km,3.0km,3.7km,2.6km,3.6km,2.7km,4.6km,2.8km,1.2km,2.9km,2.7km,1.6km,2.4km,2.0km,1.2km,3.1km,4.9km,3.1km
toll,"통행료 약 18,400원",통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원,통행료 약 0원
taxi,"택시비 약 511,800원","택시비 약 4,500원","택시비 약 5,400원","택시비 약 4,600원","택시비 약 3,300원","택시비 약 7,500원","택시비 약 4,500원","택시비 약 5,600원","택시비 약 4,100원","택시비 약 5,200원","택시비 약 3,300원","택시비 약 3,300원","택시비 약 4,800원","택시비 약 3,300원","택시비 약 7,100원","택시비 약 9,200원","택시비 약 5,700원","택시비 약 6,200원","택시비 약 5,000원","택시비 약 4,100원","택시비 약 5,500원","택시비 약 5,400원","택시비 약 5,100원","택시비 약 5,400원","택시비 약 4,400원","택시비 약 5,700원","택시비 약 4,700원","택시비 약 5,400원","택시비 약 3,700원","택시비 약 5,200원","택시비 약 4,500원","택시비 약 4,000원","택시비 약 6,100원","택시비 약 3,700원","택시비 약 4,400원","택시비 약 3,500원","택시비 약 4,700원","택시비 약 3,400원","택시비 약 3,300원","택시비 약 4,100원","택시비 약 3,800원","택시비 약 4,200원","택시비 약 5,100원","택시비 약 3,600원","택시비 약 5,500원","택시비 약 4,000원","택시비 약 3,300원","택시비 약 3,300원","택시비 약 3,800원","택시비 약 6,400원","택시비 약 4,600원","택시비 약 5,100원","택시비 약 4,500원","택시비 약 47,500원","택시비 약 9,800원","택시비 약 4,200원","택시비 약 4,300원","택시비 약 5,200원","택시비 약 3,900원","택시비 약 5,200원","택시비 약 3,900원","택시비 약 5,400원","택시비 약 4,000원","택시비 약 3,300원","택시비 약 4,100원","택시비 약 3,900원","택시비 약 3,300원","택시비 약 4,600원","택시비 약 3,400원","택시비 약 3,300원","택시비 약 4,300원","택시비 약 6,200원","택시비 약 4,200원"
oil,"주유비 약 64,324원",주유비 약 482원,주유비 약 555원,주유비 약 540원,주유비 약 161원,주유비 약 978원,주유비 약 482원,주유비 약 525원,주유비 약 452원,주유비 약 511원,주유비 약 161원,주유비 약 233원,주유비 약 438원,주유비 약 233원,주유비 약 890원,"주유비 약 1,211원",주유비 약 555원,주유비 약 744원,주유비 약 525원,주유비 약 409원,주유비 약 569원,주유비 약 540원,주유비 약 540원,주유비 약 540원,주유비 약 452원,주유비 약 657원,주유비 약 467원,주유비 약 598원,주유비 약 336원,주유비 약 613원,주유비 약 511원,주유비 약 423원,주유비 약 730원,주유비 약 365원,주유비 약 496원,주유비 약 306원,주유비 약 511원,주유비 약 306원,주유비 약 292원,주유비 약 452원,주유비 약 394원,주유비 약 438원,주유비 약 525원,주유비 약 350원,주유비 약 686원,주유비 약 438원,주유비 약 292원,주유비 약 277원,주유비 약 306원,주유비 약 788원,주유비 약 511원,주유비 약 555원,주유비 약 511원,"주유비 약 7,690원","주유비 약 1,415원",주유비 약 438원,주유비 약 438원,주유비 약 540원,주유비 약 379원,주유비 약 525원,주유비 약 394원,주유비 약 671원,주유비 약 409원,주유비 약 175원,주유비 약 423원,주유비 약 394원,주유비 약 233원,주유비 약 350원,주유비 약 292원,주유비 약 175원,주유비 약 452원,주유비 약 715원,주유비 약 452원
